,Actual value,Predicted value
5149,12.4,2.2842192317630863
6075,0.0,2.2842192317630863
5655,0.0,2.2842192317630863
6688,0.0,2.2842192317630863
4022,1.8,2.2842192317630863
2486,0.0,2.2842192317630863
4347,0.0,2.2842192317630863
5616,1.8,2.2842192317630863
6667,0.0,2.2842192317630863
1658,0.0,2.2842192317630863
3678,0.0,2.2842192317630863
4361,0.0,2.2842192317630863
5010,0.0,2.2842192317630863
6603,0.0,2.2842192317630863
3175,18.6,2.2842192317630863
311,0.0,2.2842192317630863
2466,0.0,2.2842192317630863
2948,0.0,2.2842192317630863
2900,0.0,2.2842192317630863
1782,0.0,2.2842192317630863
5614,1.8,2.2842192317630863
2164,0.0,2.2842192317630863
5943,0.0,2.2842192317630863
1188,0.0,2.2842192317630863
755,0.0,2.2842192317630863
7162,0.0,2.2842192317630863
3973,0.0,2.2842192317630863
4751,0.0,2.2842192317630863
1513,0.0,2.2842192317630863
544,23.4,9.363439455389436
3101,0.0,2.2842192317630863
5498,0.0,2.2842192317630863
6323,0.0,2.2842192317630863
5306,0.0,2.2842192317630863
5172,4.1,2.2842192317630863
1686,0.0,2.2842192317630863
3750,11.6,9.071512848229588
1724,0.0,2.2842192317630863
3389,0.0,2.2842192317630863
6989,0.0,2.2842192317630863
666,0.0,2.2842192317630863
6198,0.0,2.2842192317630863
2209,0.0,2.2842192317630863
5734,0.0,2.2842192317630863
3033,0.0,2.2842192317630863
1174,0.0,2.2842192317630863
6226,0.0,2.2842192317630863
2035,0.0,2.2842192317630863
3534,0.0,2.2842192317630863
6066,0.0,2.2842192317630863
6727,0.0,2.2842192317630863
3045,0.0,2.2842192317630863
7009,0.0,2.2842192317630863
5195,0.0,2.2842192317630863
6003,0.0,2.2842192317630863
4551,0.0,2.2842192317630863
336,0.0,2.2842192317630863
5822,25.8,2.2842192317630863
3540,0.0,2.2842192317630863
4715,0.0,2.2842192317630863
830,34.0,21.47839365252319
6365,0.0,2.2842192317630863
1089,0.0,2.2842192317630863
504,0.0,2.2842192317630863
3007,0.0,2.2842192317630863
5150,1.8,2.2842192317630863
3940,0.0,2.2842192317630863
5745,0.0,2.2842192317630863
5178,0.0,2.2842192317630863
956,0.0,2.2842192317630863
847,0.0,2.2842192317630863
6470,0.0,2.2842192317630863
5367,0.0,2.2842192317630863
5177,0.0,2.2842192317630863
5250,35.6,2.2842192317630863
5142,0.0,2.2842192317630863
4897,0.0,2.2842192317630863
4092,31.6,16.953531241545527
4591,30.0,2.2842192317630863
4294,0.0,2.2842192317630863
803,0.0,2.2842192317630863
1941,0.0,2.2842192317630863
2229,0.0,2.2842192317630863
4809,0.0,2.2842192317630863
6095,0.0,2.2842192317630863
3407,0.0,2.2842192317630863
534,0.0,2.2842192317630863
6007,0.0,2.2842192317630863
4461,0.0,2.2842192317630863
6567,0.0,2.2842192317630863
3783,0.0,2.2842192317630863
4633,0.0,2.2842192317630863
1834,0.0,2.2842192317630863
6945,0.0,2.2842192317630863
7259,1.8,2.2842192317630863
5413,0.0,2.2842192317630863
